Datetime,beaconid,realx,realy,edge_50,edge_51,edge_53,edge_54,edge_55,edge_56,edge_58
2019-03-22T17:10:34.500000Z,3,6.406714285714286,6.681714285714286,-79.66666666666667,-78.66666666666667,-72.75,-74.33333333333333,-75.75,-76.5,-72.4
2019-03-22T17:10:35.000000Z,3,6.264285714285714,6.513428571428571,-76.66666666666667,-74.0,-75.0,-85.0,-67.0,-72.5,-73.0
2019-03-22T17:10:35.500000Z,3,6.257571428571429,6.355857142857143,-82.33333333333333,-73.33333333333333,-73.75,-78.75,-77.75,-71.0,-67.5
2019-03-22T17:10:36.000000Z,3,6.250857142857143,6.198285714285714,-80.5,-74.25,-73.2,-68.0,-68.0,-77.33333333333333,-72.0
2019-03-22T17:10:36.500000Z,3,6.244142857142857,6.0407142857142855,-81.0,-80.33333333333333,-65.33333333333333,-83.0,-66.5,-77.33333333333333,-71.2
2019-03-22T17:10:37.000000Z,3,6.2374285714285715,5.883142857142857,-76.25,-73.5,-74.66666666666667,-72.0,-73.5,-72.5,-73.0
2019-03-22T17:10:37.500000Z,3,6.230714285714286,5.7255714285714285,-79.5,-73.66666666666667,-69.0,-65.75,-69.8,-69.0,-75.25
2019-03-22T17:10:38.000000Z,3,6.426200000000001,5.5493999999999994,-80.2,-81.6,-74.0,-69.25,-67.66666666666667,-66.75,-73.66666666666667
2019-03-22T17:10:38.500000Z,3,6.6284,5.530799999999999,-74.0,-82.5,-67.75,-78.66666666666667,-68.0,-68.66666666666667,-74.0
2019-03-22T17:10:39.000000Z,3,6.8306000000000004,5.5122,-76.66666666666667,-75.0,-70.5,-71.0,-65.0,-75.0,-69.0
2019-03-22T17:10:39.500000Z,3,7.0328,5.4936,-76.66666666666667,-84.0,-76.75,-69.5,-76.0,-75.0,-88.5
2019-03-22T17:10:40.000000Z,3,7.393571428571429,5.447571428571428,-76.66666666666667,-84.0,-67.5,-69.5,-82.0,-74.5,-75.33333333333333
2019-03-22T17:10:40.500000Z,3,7.552142857142858,5.420142857142857,-83.0,-83.5,-69.5,-74.5,-55.0,-73.0,-78.0
2019-03-22T17:10:41.000000Z,3,7.710714285714286,5.392714285714286,-83.0,-71.5,-79.66666666666667,-59.0,-62.0,-66.0,-80.33333333333333
2019-03-22T17:10:41.500000Z,3,7.869285714285715,5.365285714285714,-84.33333333333333,-83.5,-72.0,-69.0,-59.75,-73.5,-73.33333333333333
2019-03-22T17:10:42.000000Z,3,8.027857142857144,5.337857142857143,-75.33333333333333,-83.5,-68.4,-71.33333333333333,-71.25,-83.2,-71.0
2019-03-22T17:10:42.500000Z,3,8.186428571428571,5.310428571428572,-80.5,-72.8,-67.33333333333333,-72.0,-58.0,-73.33333333333333,-69.5
2019-03-22T17:10:43.000000Z,3,8.352555555555556,5.167111111111112,-75.0,-77.75,-69.25,-74.0,-64.0,-70.66666666666667,-71.6
2019-03-22T17:10:43.500000Z,3,8.360111111111111,5.051222222222223,-68.0,-75.0,-74.0,-71.0,-60.0,-78.66666666666667,-71.5
2019-03-22T17:10:44.000000Z,3,8.367666666666667,4.935333333333333,-74.0,-78.5,-65.2,-70.2,-62.8,-74.5,-75.0
