Datetime,beaconid,realx,realy,edge_51,edge_53,edge_55,edge_56,edge_57
2019-04-01T23:08:52.000000Z,3,6.244142857142857,6.0407142857142855,-83.6,-78.8,-82.25,-70.0,-77.0
2019-04-01T23:08:52.500000Z,3,6.250857142857143,6.198285714285714,-71.0,-81.0,-83.0,-76.0,-80.0
2019-04-01T23:08:53.000000Z,3,6.257571428571429,6.355857142857143,-82.0,-81.0,-66.0,-75.0,-69.66666666666667
2019-04-01T23:08:53.500000Z,3,6.264285714285714,6.513428571428571,-85.33333333333333,-76.33333333333333,-76.5,-75.0,-63.333333333333336
2019-04-01T23:08:54.000000Z,3,6.406714285714286,6.681714285714286,-89.0,-79.5,-76.66666666666667,-80.0,-77.0
2019-04-01T23:08:54.500000Z,3,6.542428571428571,6.692428571428572,-75.0,-71.0,-72.66666666666667,-75.33333333333333,-70.0
2019-04-01T23:08:55.000000Z,3,6.678142857142857,6.703142857142858,-81.5,-83.0,-77.0,-72.0,-77.0
2019-04-01T23:08:55.500000Z,3,6.813857142857143,6.713857142857143,-81.5,-78.25,-85.5,-64.25,-77.0
2019-04-01T23:08:56.000000Z,3,6.949571428571429,6.724571428571429,-83.0,-73.5,-74.0,-62.333333333333336,-78.25
2019-04-01T23:08:56.500000Z,3,7.085285714285714,6.735285714285714,-81.33333333333333,-80.5,-63.0,-58.0,-75.5
2019-04-01T23:08:57.000000Z,3,7.414,6.745,-89.0,-80.66666666666667,-67.0,-61.333333333333336,-80.0
2019-04-01T23:08:57.500000Z,3,7.607,6.744000000000001,-87.33333333333333,-73.0,-73.4,-59.0,-80.5
2019-04-01T23:08:58.000000Z,3,7.8,6.743,-78.5,-70.0,-79.0,-55.333333333333336,-79.75
2019-04-01T23:08:58.500000Z,3,7.992999999999999,6.742,-81.0,-70.0,-76.0,-61.666666666666664,-68.0
2019-04-01T23:08:59.000000Z,3,8.186,6.7410000000000005,-81.33333333333333,-76.5,-80.66666666666667,-59.0,-66.5
2019-04-01T23:08:59.500000Z,3,8.445833333333333,6.945,-75.0,-76.5,-78.66666666666667,-66.25,-71.0
2019-04-01T23:09:00.000000Z,3,8.512666666666666,7.15,-80.0,-75.0,-79.0,-61.75,-71.0
2019-04-01T23:09:00.500000Z,3,8.5795,7.355,-78.5,-77.0,-75.5,-52.5,-67.0
2019-04-01T23:09:01.000000Z,3,8.646333333333333,7.56,-74.5,-83.0,-70.0,-67.0,-80.0
2019-04-01T23:09:01.500000Z,3,8.713166666666666,7.765,-94.0,-78.5,-76.66666666666667,-64.0,-72.25
2019-04-01T23:09:02.000000Z,3,8.78,8.1655,-80.0,-78.5,-76.66666666666667,-59.75,-72.25
2019-04-01T23:09:02.500000Z,3,8.78,8.361,-76.0,-80.0,-70.33333333333333,-64.0,-84.0
2019-04-01T23:09:03.000000Z,3,8.78,8.5565,-87.0,-77.33333333333333,-78.0,-63.0,-80.5
2019-04-01T23:09:03.500000Z,3,8.78,8.752,-90.66666666666667,-81.0,-81.25,-76.2,-77.66666666666667
2019-04-01T23:09:04.000000Z,3,8.78,8.9475,-89.0,-79.0,-81.75,-74.0,-89.5
2019-04-01T23:09:04.500000Z,3,8.78,8.975428571428573,-79.33333333333333,-75.0,-72.33333333333333,-66.66666666666667,-79.33333333333333
2019-04-01T23:09:05.000000Z,3,8.78,8.807857142857143,-75.0,-82.5,-80.0,-53.0,-67.0
2019-04-01T23:09:05.500000Z,3,8.78,8.640285714285714,-75.0,-71.0,-71.0,-71.5,-77.33333333333333
2019-04-01T23:09:06.000000Z,3,8.78,8.472714285714286,-78.66666666666667,-80.25,-77.2,-67.8,-71.8
2019-04-01T23:09:06.500000Z,3,8.78,8.305142857142858,-83.0,-71.0,-73.0,-64.5,-72.0
2019-04-01T23:09:07.000000Z,3,8.78,8.137571428571428,-78.0,-72.5,-72.5,-65.0,-82.0
2019-04-01T23:09:07.500000Z,3,8.729875,7.81625,-80.75,-74.5,-79.8,-65.33333333333333,-69.5
2019-04-01T23:09:08.000000Z,3,8.679749999999999,7.6625,-79.0,-77.33333333333333,-75.5,-60.0,-83.0
2019-04-01T23:09:08.500000Z,3,8.629624999999999,7.50875,-77.0,-70.66666666666667,-72.66666666666667,-69.0,-80.75
2019-04-01T23:09:09.000000Z,3,8.5795,7.355,-87.0,-79.33333333333333,-78.33333333333333,-71.33333333333333,-83.0
2019-04-01T23:09:09.500000Z,3,8.529375,7.20125,-75.66666666666667,-77.5,-83.0,-68.0,-86.5
2019-04-01T23:09:10.000000Z,3,8.47925,7.0475,-71.0,-76.66666666666667,-70.0,-74.4,-74.33333333333333
2019-04-01T23:09:10.500000Z,3,8.429124999999999,6.893750000000001,-85.5,-73.0,-60.0,-74.66666666666667,-68.0
2019-04-01T23:09:11.000000Z,3,8.504222222222221,6.578888888888889,-100.0,-79.5,-76.0,-74.66666666666667,-81.5
2019-04-01T23:09:11.500000Z,3,8.629444444444443,6.417777777777778,-85.0,-72.5,-62.0,-66.0,-81.0
2019-04-01T23:09:12.000000Z,3,8.754666666666667,6.256666666666667,-80.0,-73.0,-65.33333333333333,-76.0,-66.0
2019-04-01T23:09:12.500000Z,3,8.879888888888889,6.095555555555555,-72.0,-78.66666666666667,-66.66666666666667,-82.0,-80.0
2019-04-01T23:09:13.000000Z,3,9.00511111111111,5.934444444444445,-78.8,-74.75,-69.25,-73.25,-79.25
2019-04-01T23:09:13.500000Z,3,9.130333333333333,5.773333333333333,-83.75,-77.8,-69.33333333333333,-70.2,-74.0
2019-04-01T23:09:14.000000Z,3,9.255555555555556,5.612222222222222,-79.33333333333333,-77.0,-60.25,-77.33333333333333,-76.66666666666667
2019-04-01T23:09:14.500000Z,3,9.380777777777778,5.4511111111111115,-74.5,-75.0,-83.5,-66.0,-80.5
2019-04-01T23:09:15.000000Z,3,9.51457142857143,5.138142857142857,-74.5,-75.0,-83.5,-80.0,-70.0
2019-04-01T23:09:15.500000Z,3,9.523142857142858,4.986285714285715,-85.5,-78.0,-73.0,-71.0,-74.66666666666667
2019-04-01T23:09:16.000000Z,3,9.531714285714287,4.834428571428571,-80.5,-78.0,-50.5,-71.0,-74.66666666666667
2019-04-01T23:09:16.500000Z,3,9.540285714285714,4.682571428571428,-73.66666666666667,-78.0,-54.0,-74.5,-69.5
2019-04-01T23:09:17.000000Z,3,9.548857142857143,4.530714285714286,-77.0,-85.0,-62.75,-82.33333333333333,-81.0
2019-04-01T23:09:17.500000Z,3,9.557428571428572,4.378857142857143,-76.0,-85.0,-61.666666666666664,-69.0,-72.0
2019-04-01T23:09:18.000000Z,3,9.570714285714287,4.082857142857143,-87.5,-71.33333333333333,-55.666666666666664,-78.0,-80.75
2019-04-01T23:09:18.500000Z,3,9.575428571428573,3.938714285714286,-82.0,-73.0,-63.25,-77.5,-83.33333333333333
2019-04-01T23:09:19.000000Z,3,9.580142857142858,3.794571428571429,-75.66666666666667,-75.75,-71.33333333333333,-80.66666666666667,-77.0
2019-04-01T23:09:19.500000Z,3,9.584857142857143,3.650428571428572,-84.5,-68.5,-72.33333333333333,-87.33333333333333,-86.5
2019-04-01T23:09:20.000000Z,3,9.589571428571428,3.5062857142857142,-77.33333333333333,-82.5,-65.5,-87.33333333333333,-82.0
2019-04-01T23:09:20.500000Z,3,9.594285714285714,3.362142857142857,-73.0,-81.0,-84.33333333333333,-77.0,-83.0
2019-04-01T23:09:21.000000Z,3,9.452125,3.104,-82.0,-78.0,-80.75,-68.66666666666667,-86.0
2019-04-01T23:09:21.500000Z,3,9.305250000000001,2.99,-89.0,-78.0,-80.75,-68.66666666666667,-73.66666666666667
2019-04-01T23:09:22.000000Z,3,9.158375,2.876,-77.0,-78.0,-79.66666666666667,-79.0,-74.5
2019-04-01T23:09:22.500000Z,3,9.0115,2.762,-78.8,-74.0,-77.0,-70.0,-76.66666666666667
2019-04-01T23:09:23.000000Z,3,8.864625,2.648,-69.0,-71.25,-81.25,-79.75,-78.25
2019-04-01T23:09:23.500000Z,3,8.717749999999999,2.534,-77.33333333333333,-69.5,-74.5,-74.0,-78.33333333333333
2019-04-01T23:09:24.000000Z,3,8.570875,2.42,-73.33333333333333,-82.0,-75.0,-79.0,-78.33333333333333
2019-04-01T23:09:24.500000Z,3,8.242666666666667,2.2975,-83.2,-73.0,-73.4,-82.0,-68.4
