Datetime,beaconid,realx,realy,edge_2,edge_3,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13
2018-09-24T23:41:14.000000Z,1,18.6484008,8.1386,-72.33333333333333,-76.2,-78.0,-73.25,-71.0,-78.75,-77.33333333333333,-60.5
2018-09-24T23:41:14.500000Z,1,18.6418006,7.8062000000000005,-75.25,-84.75,-77.0,-73.5,-72.0,-83.0,-73.0,-70.66666666666667
2018-09-24T23:41:15.000000Z,1,18.635200400000002,7.473800000000001,-73.0,-74.6,-83.25,-76.6,-69.6,-83.5,-75.75,-79.0
2018-09-24T23:41:15.500000Z,1,18.6286002,7.1414,-74.0,-82.66666666666667,-73.5,-69.66666666666667,-77.0,-85.0,-81.0,-71.0
2018-09-24T23:41:16.000000Z,1,18.58275,6.3785,-70.33333333333333,-74.5,-73.5,-67.0,-73.5,-83.5,-71.2,-75.6
2018-09-24T23:41:16.500000Z,1,18.5435,5.948,-64.0,-73.4,-88.0,-71.0,-63.25,-83.0,-66.5,-75.5
2018-09-24T23:41:17.000000Z,1,18.50425,5.5175,-72.0,-82.66666666666667,-74.5,-68.4,-66.25,-76.75,-81.33333333333333,-76.0
2018-09-24T23:41:17.500000Z,1,18.5918002,4.7362,-64.0,-81.0,-87.0,-60.0,-79.33333333333333,-71.0,-84.5,-71.0
2018-09-24T23:41:18.000000Z,1,18.7186004,4.3854,-69.66666666666667,-80.5,-95.0,-60.0,-79.0,-80.0,-79.33333333333333,-77.33333333333333
2018-09-24T23:41:18.500000Z,1,18.8454006,4.0346,-82.25,-72.2,-95.0,-70.0,-72.0,-82.25,-79.8,-70.25
2018-09-24T23:41:19.000000Z,1,18.9722008,3.6838,-69.0,-72.0,-86.5,-68.5,-75.25,-86.0,-85.33333333333333,-83.0
2018-09-24T23:41:19.500000Z,1,19.360801000000002,3.3916,-71.5,-80.0,-88.25,-69.0,-74.0,-86.0,-81.0,-74.25
2018-09-24T23:41:20.000000Z,1,19.622601000000003,3.4502,-77.75,-68.5,-88.25,-60.0,-77.5,-87.5,-81.0,-79.0
2018-09-24T23:41:20.500000Z,1,19.884401,3.5088,-66.0,-63.666666666666664,-86.66666666666667,-62.5,-74.5,-84.5,-83.6,-75.33333333333333
2018-09-24T23:41:21.000000Z,1,20.146201,3.5674,-59.0,-72.0,-80.66666666666667,-58.75,-80.66666666666667,-78.66666666666667,-86.25,-83.33333333333333
2018-09-24T23:41:21.500000Z,1,20.395601000000003,3.9542,-57.333333333333336,-63.75,-84.33333333333333,-64.75,-74.33333333333333,-89.5,-86.25,-78.66666666666667
2018-09-24T23:41:22.000000Z,1,20.383201000000003,4.2824,-59.0,-55.0,-74.0,-71.0,-83.4,-79.0,-85.33333333333333,-89.0
2018-09-24T23:41:22.500000Z,1,20.370801,4.6106,-64.75,-53.5,-86.0,-68.25,-79.75,-83.5,-83.5,-79.0
2018-09-24T23:41:23.000000Z,1,20.358401,4.9388000000000005,-66.0,-60.75,-80.66666666666667,-69.8,-71.0,-81.33333333333333,-83.0,-81.0
2018-09-24T23:41:23.500000Z,1,20.4795005,5.16875,-60.4,-67.2,-90.0,-70.2,-79.66666666666667,-87.66666666666667,-91.5,-85.0
2018-09-24T23:41:24.000000Z,1,20.613,5.0705,-79.5,-53.75,-81.33333333333333,-64.66666666666667,-88.0,-78.33333333333333,-89.75,-88.5
2018-09-24T23:41:24.500000Z,1,20.7464995,4.97225,-64.5,-61.5,-91.0,-55.0,-83.66666666666667,-83.0,-89.75,-68.5
2018-09-24T23:41:25.000000Z,1,21.4417495,4.84675,-71.25,-72.5,-83.5,-63.5,-79.33333333333333,-83.0,-93.0,-82.66666666666667
2018-09-24T23:41:25.500000Z,1,22.0035,4.8195,-57.25,-62.0,-81.0,-65.5,-80.33333333333333,-79.5,-88.66666666666667,-81.33333333333333
2018-09-24T23:41:26.000000Z,1,22.565250499999998,4.792249999999999,-59.666666666666664,-62.25,-87.33333333333333,-64.0,-78.5,-91.0,-81.0,-81.5
2018-09-24T23:41:26.500000Z,1,23.3061675,4.9158333333333335,-62.333333333333336,-60.5,-74.0,-68.75,-84.5,-89.5,-96.0,-86.66666666666667
2018-09-24T23:41:27.000000Z,1,23.485334,5.066666666666666,-54.666666666666664,-58.6,-80.75,-72.8,-82.5,-88.5,-74.33333333333333,-74.33333333333333
2018-09-24T23:41:27.500000Z,1,23.664500500000003,5.217499999999999,-47.5,-53.2,-84.0,-61.666666666666664,-81.33333333333333,-85.5,-88.5,-77.0
2018-09-24T23:41:28.000000Z,1,23.843667,5.368333333333333,-56.0,-49.0,-82.0,-69.0,-77.66666666666667,-78.66666666666667,-92.0,-79.0
2018-09-24T23:41:28.500000Z,1,24.0228335,5.519166666666667,-55.2,-49.0,-80.5,-73.2,-79.0,-86.5,-75.5,-75.0
2018-09-24T23:41:29.000000Z,1,24.237333666666668,6.250666666666667,-58.0,-60.4,-78.0,-66.0,-81.0,-81.0,-82.5,-82.33333333333333
2018-09-24T23:41:29.500000Z,1,24.272667333333334,6.831333333333333,-52.5,-44.0,-65.0,-64.0,-74.0,-81.0,-79.25,-74.33333333333333
2018-09-24T23:41:30.000000Z,1,24.231601,7.6866,-54.5,-63.5,-85.5,-69.66666666666667,-79.0,-87.5,-86.0,-73.66666666666667
2018-09-24T23:41:30.500000Z,1,24.155201,7.9612,-54.333333333333336,-60.5,-82.0,-67.0,-71.33333333333333,-85.0,-74.5,-74.5
2018-09-24T23:41:31.000000Z,1,24.078801,8.2358,-49.0,-55.333333333333336,-80.0,-73.0,-70.33333333333333,-96.0,-81.33333333333333,-76.66666666666667
2018-09-24T23:41:31.500000Z,1,24.002401,8.5104,-58.8,-55.333333333333336,-77.33333333333333,-63.5,-88.0,-85.0,-84.0,-69.25
2018-09-24T23:41:32.000000Z,1,23.699000666666667,8.870666666666667,-66.33333333333333,-60.0,-71.0,-63.0,-82.4,-84.0,-78.66666666666667,-81.33333333333333
2018-09-24T23:41:32.500000Z,1,23.472000333333334,8.956333333333333,-65.0,-56.0,-84.66666666666667,-73.0,-74.0,-79.5,-80.0,-65.5
2018-09-24T23:41:33.000000Z,1,23.244999999999997,9.042,-46.5,-51.0,-89.0,-55.25,-72.5,-83.75,-82.5,-71.0
2018-09-24T23:41:33.500000Z,1,23.017999666666665,9.127666666666666,-65.4,-68.66666666666667,-80.5,-60.333333333333336,-75.8,-83.0,-79.66666666666667,-78.75
2018-09-24T23:41:34.000000Z,1,22.790999333333332,9.213333333333333,-57.5,-61.0,-75.66666666666667,-72.66666666666667,-73.75,-86.0,-78.0,-74.66666666666667
2018-09-24T23:41:34.500000Z,1,22.165498999999997,9.433,-66.75,-52.0,-72.66666666666667,-69.66666666666667,-75.5,-84.66666666666667,-78.0,-72.5
2018-09-24T23:41:35.000000Z,1,21.766999,9.567,-65.75,-56.25,-71.5,-70.75,-83.6,-84.66666666666667,-78.66666666666667,-77.0
2018-09-24T23:41:35.500000Z,1,21.368499,9.701,-63.8,-68.5,-66.66666666666667,-73.0,-75.0,-77.0,-75.4,-77.33333333333333
2018-09-24T23:41:36.000000Z,1,20.950598999999997,9.5616,-68.75,-65.0,-74.66666666666667,-66.5,-79.5,-80.66666666666667,-81.5,-69.0
2018-09-24T23:41:36.500000Z,1,20.931199,9.2882,-60.5,-67.25,-72.5,-73.4,-80.0,-79.0,-85.66666666666667,-81.0
2018-09-24T23:41:37.000000Z,1,20.911799,9.014800000000001,-60.333333333333336,-56.333333333333336,-82.25,-73.2,-76.0,-86.5,-81.33333333333333,-74.4
2018-09-24T23:41:37.500000Z,1,20.892399,8.7414,-59.666666666666664,-63.0,-81.0,-64.0,-75.6,-96.0,-83.75,-74.5
2018-09-24T23:41:38.000000Z,1,20.852749250000002,8.064,-62.4,-62.6,-81.0,-65.5,-78.0,-91.0,-80.0,-79.66666666666667
2018-09-24T23:41:38.500000Z,1,20.8324995,7.66,-57.0,-51.666666666666664,-75.0,-59.0,-82.25,-79.5,-80.0,-71.5
2018-09-24T23:41:39.000000Z,1,20.81224975,7.256,-66.0,-63.333333333333336,-80.5,-64.5,-80.66666666666667,-77.0,-80.0,-75.0
2018-09-24T23:41:39.500000Z,1,20.68050025,6.45575,-64.66666666666667,-67.0,-83.33333333333333,-65.75,-65.0,-79.25,-87.0,-75.0
2018-09-24T23:41:40.000000Z,1,20.5690005,6.0595,-63.2,-65.33333333333333,-77.0,-58.75,-81.66666666666667,-86.5,-79.25,-80.0
2018-09-24T23:41:40.500000Z,1,20.45750075,5.663250000000001,-59.5,-70.8,-84.5,-53.0,-75.0,-94.0,-83.66666666666667,-76.25
2018-09-24T23:41:41.000000Z,1,20.4795005,5.16875,-67.75,-68.75,-82.5,-61.75,-77.75,-78.0,-79.0,-64.66666666666667
2018-09-24T23:41:41.500000Z,1,20.613,5.0705,-72.5,-64.6,-88.0,-64.0,-75.25,-81.66666666666667,-86.5,-74.6
2018-09-24T23:41:42.000000Z,1,20.7464995,4.97225,-61.5,-53.25,-81.0,-66.0,-79.0,-87.0,-87.5,-79.66666666666667
2018-09-24T23:41:42.500000Z,1,21.4417495,4.84675,-58.25,-62.666666666666664,-78.5,-58.0,-81.0,-82.0,-80.0,-76.66666666666667
2018-09-24T23:41:43.000000Z,1,22.0035,4.8195,-63.0,-50.0,-84.8,-74.0,-78.66666666666667,-89.5,-87.66666666666667,-86.33333333333333
2018-09-24T23:41:43.500000Z,1,22.565250499999998,4.792249999999999,-57.6,-67.33333333333333,-82.0,-69.2,-80.75,-89.5,-83.0,-78.5
2018-09-24T23:41:44.000000Z,1,23.3420008,4.946,-68.0,-54.5,-85.0,-71.0,-83.5,-90.0,-79.5,-78.5
2018-09-24T23:41:44.500000Z,1,23.557000600000002,5.127,-56.0,-62.0,-78.0,-77.0,-79.0,-89.5,-82.0,-77.66666666666667
2018-09-24T23:41:45.000000Z,1,23.7720004,5.308,-60.333333333333336,-52.5,-81.25,-71.25,-74.2,-90.25,-77.33333333333333,-83.0
2018-09-24T23:41:45.500000Z,1,23.9870002,5.489,-56.75,-57.0,-72.5,-67.0,-76.33333333333333,-97.0,-85.0,-77.0
2018-09-24T23:41:46.000000Z,1,24.2232002,6.0184,-55.5,-60.0,-79.0,-58.0,-70.0,-79.0,-89.5,-72.0
2018-09-24T23:41:46.500000Z,1,24.2444004,6.3668,-57.5,-49.5,-75.5,-58.0,-70.0,-83.0,-89.5,-76.0
2018-09-24T23:41:47.000000Z,1,24.265600600000003,6.715199999999999,-63.5,-45.333333333333336,-75.5,-71.5,-80.5,-81.5,-75.0,-82.66666666666667
2018-09-24T23:41:47.500000Z,1,24.2868008,7.0636,-56.6,-62.333333333333336,-78.33333333333333,-72.25,-73.33333333333333,-89.66666666666667,-86.8,-77.5
2018-09-24T23:41:48.000000Z,1,24.212501,7.75525,-54.0,-63.25,-89.0,-77.75,-78.66666666666667,-89.0,-81.0,-84.5
2018-09-24T23:41:48.500000Z,1,24.117001000000002,8.0985,-54.25,-61.4,-82.0,-68.0,-75.0,-79.0,-82.6,-75.25
2018-09-24T23:41:49.000000Z,1,24.021501,8.44175,-61.5,-68.8,-76.0,-59.666666666666664,-77.25,-86.0,-81.0,-79.0
2018-09-24T23:41:49.500000Z,1,23.6536006,8.8878,-47.75,-66.33333333333333,-76.0,-65.5,-76.4,-76.0,-81.33333333333333,-72.5
2018-09-24T23:41:50.000000Z,1,23.3812002,8.9906,-62.0,-60.75,-74.25,-68.75,-79.4,-87.0,-79.0,-68.0
2018-09-24T23:41:50.500000Z,1,23.1087998,9.093399999999999,-59.5,-64.75,-84.33333333333333,-67.0,-72.75,-81.5,-84.0,-80.5
2018-09-24T23:41:51.000000Z,1,22.836399399999998,9.1962,-65.5,-55.0,-74.8,-74.5,-74.0,-86.25,-82.0,-76.0
2018-09-24T23:41:51.500000Z,1,22.165498999999997,9.433,-63.666666666666664,-57.5,-75.75,-63.0,-73.5,-81.5,-75.5,-72.5
2018-09-24T23:41:52.000000Z,1,21.766999,9.567,-62.333333333333336,-54.666666666666664,-73.75,-77.66666666666667,-76.5,-83.25,-81.0,-71.5
2018-09-24T23:41:52.500000Z,1,21.368499,9.701,-55.333333333333336,-67.4,-75.5,-69.2,-75.8,-80.0,-80.2,-70.0
2018-09-24T23:41:53.000000Z,1,20.950598999999997,9.5616,-63.0,-60.4,-69.8,-69.75,-81.25,-87.0,-78.75,-69.25
2018-09-24T23:41:53.500000Z,1,20.931199,9.2882,-59.666666666666664,-61.0,-76.0,-62.5,-74.33333333333333,-83.66666666666667,-86.5,-73.33333333333333
2018-09-24T23:41:54.000000Z,1,20.911799,9.014800000000001,-64.5,-53.333333333333336,-76.0,-62.5,-74.33333333333333,-83.66666666666667,-79.66666666666667,-73.0
2018-09-24T23:41:54.500000Z,1,20.892399,8.7414,-58.25,-65.8,-79.5,-66.6,-79.6,-85.5,-90.0,-78.5
2018-09-24T23:41:55.000000Z,1,20.852749250000002,8.064,-60.25,-72.0,-76.0,-66.8,-68.66666666666667,-87.0,-87.0,-77.8
2018-09-24T23:41:55.500000Z,1,20.8324995,7.66,-65.75,-61.2,-80.66666666666667,-69.75,-73.0,-75.5,-81.66666666666667,-75.25
2018-09-24T23:41:56.000000Z,1,20.81224975,7.256,-58.4,-59.0,-82.0,-69.75,-70.33333333333333,-82.0,-80.5,-77.5
2018-09-24T23:41:56.500000Z,1,20.81224975,7.256,-56.2,-54.25,-82.66666666666667,-69.5,-71.0,-80.0,-82.33333333333333,-94.0
2018-09-24T23:41:57.000000Z,1,20.8324995,7.66,-63.333333333333336,-48.0,-82.0,-59.0,-77.0,-81.0,-77.5,-83.0
2018-09-24T23:41:57.500000Z,1,20.852749250000002,8.064,-65.0,-56.5,-78.0,-65.66666666666667,-72.0,-80.0,-76.0,-82.66666666666667
2018-09-24T23:41:58.000000Z,1,20.892399,8.7414,-65.0,-59.666666666666664,-76.0,-72.6,-74.0,-80.0,-87.66666666666667,-75.33333333333333
2018-09-24T23:41:58.500000Z,1,20.911799,9.014800000000001,-59.0,-71.0,-76.25,-63.666666666666664,-82.0,-78.0,-83.0,-78.0
2018-09-24T23:41:59.000000Z,1,20.931199,9.2882,-63.666666666666664,-60.8,-80.75,-67.75,-85.0,-92.0,-83.0,-82.33333333333333
2018-09-24T23:41:59.500000Z,1,20.950598999999997,9.5616,-64.0,-62.75,-85.0,-67.0,-78.5,-91.0,-86.0,-83.5
2018-09-24T23:42:00.000000Z,1,21.288798999999997,9.7278,-62.25,-60.666666666666664,-78.5,-70.33333333333333,-86.0,-75.5,-81.0,-83.5
2018-09-24T23:42:00.500000Z,1,21.607598999999997,9.6206,-60.6,-55.0,-78.6,-82.0,-73.25,-83.5,-81.0,-80.33333333333333
2018-09-24T23:42:01.000000Z,1,21.926399,9.5134,-55.0,-54.5,-77.75,-68.0,-74.5,-91.66666666666667,-82.66666666666667,-79.25
2018-09-24T23:42:01.500000Z,1,22.245199,9.4062,-62.666666666666664,-53.8,-72.66666666666667,-74.25,-79.25,-86.66666666666667,-85.66666666666667,-79.5
2018-09-24T23:42:02.000000Z,1,22.9044995,9.1705,-65.0,-43.5,-85.5,-78.5,-72.5,-82.0,-85.66666666666667,-76.66666666666667
2018-09-24T23:42:02.500000Z,1,23.244999999999997,9.042,-58.2,-52.0,-83.0,-76.0,-80.25,-84.0,-78.8,-78.5
2018-09-24T23:42:03.000000Z,1,23.5855005,8.913499999999999,-56.2,-49.5,-73.5,-70.33333333333333,-79.25,-78.0,-86.5,-79.66666666666667
2018-09-24T23:42:03.500000Z,1,24.021501,8.44175,-56.0,-59.5,-80.66666666666667,-64.0,-82.33333333333333,-85.0,-83.0,-77.0
2018-09-24T23:42:04.000000Z,1,24.117001000000002,8.0985,-62.4,-57.666666666666664,-77.0,-63.333333333333336,-72.0,-85.0,-85.0,-73.33333333333333
2018-09-24T23:42:04.500000Z,1,24.212501,7.75525,-54.0,-47.75,-80.0,-69.25,-80.66666666666667,-87.5,-86.75,-76.0
2018-09-24T23:42:05.000000Z,1,24.290334166666668,7.121666666666666,-62.0,-48.5,-84.5,-70.5,-75.75,-92.0,-79.0,-79.0
2018-09-24T23:42:05.500000Z,1,24.272667333333334,6.831333333333333,-58.2,-54.0,-83.5,-73.75,-80.4,-87.0,-82.33333333333333,-79.0
2018-09-24T23:42:06.000000Z,1,24.2550005,6.541,-51.8,-78.0,-81.33333333333333,-74.66666666666667,-69.66666666666667,-87.0,-79.0,-79.0
2018-09-24T23:42:06.500000Z,1,24.237333666666668,6.250666666666667,-56.666666666666664,-60.25,-77.0,-65.75,-82.0,-85.8,-88.0,-67.0
2018-09-24T23:42:07.000000Z,1,24.219666833333335,5.960333333333333,-46.0,-54.5,-79.0,-70.33333333333333,-73.25,-80.0,-88.0,-71.0
2018-09-24T23:42:07.500000Z,1,23.83288877777778,5.581555555555555,-62.333333333333336,-58.5,-81.0,-62.0,-75.0,-80.0,-78.0,-77.5
2018-09-24T23:42:08.000000Z,1,23.463777555555556,5.493111111111111,-56.0,-67.0,-74.33333333333333,-61.0,-75.5,-80.0,-83.5,-73.0
